diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers, channel width, floc blanket space
3,1.265 liter / second,3 inch,4.0,1 inch,30 millimeter,5.54 millimeter,404 dimensionless,0.5532 meter,1.91 meter
4,1.909 liter / second,4 inch,2.0,1 inch,40 millimeter,6.54 millimeter,343 dimensionless,0.835 meter,1.742 meter
5,2.583 liter / second,6 inch,2.0,1 inch,50 millimeter,7.54 millimeter,297 dimensionless,1.13 meter,1.566 meter
6,3.293 liter / second,6 inch,1.0,1 inch,60 millimeter,8.54 millimeter,263 dimensionless,1.441 meter,1.381 meter
7,4.005 liter / second,6 inch,1.0,1 inch,70 millimeter,9.54 millimeter,235 dimensionless,1.752 meter,1.195 meter
8,4.742 liter / second,6 inch,1.0,1 inch,80 millimeter,10.54 millimeter,213 dimensionless,2.074 meter,1.003 meter
9,5.494 liter / second,6 inch,0.0,1 inch,90 millimeter,11.54 millimeter,195 dimensionless,2.403 meter,0.8073 meter
10,6.226 liter / second,8 inch,0.0,1 inch,100 millimeter,12.54 millimeter,179 dimensionless,2.724 meter,0.6165 meter
11,6.986 liter / second,8 inch,0.0,1 inch,110 millimeter,13.54 millimeter,166 dimensionless,3.056 meter,0.4183 meter
12,7.764 liter / second,8 inch,0.0,1 inch,120 millimeter,14.54 millimeter,155 dimensionless,3.396 meter,0.2157 meter
13,8.524 liter / second,8 inch,0.0,1 inch,130 millimeter,15.54 millimeter,145 dimensionless,3.729 meter,0.01762 meter
14,9.272 liter / second,8 inch,0.0,1 inch,140 millimeter,16.54 millimeter,136 dimensionless,4.056 meter,-0.1774 meter
15,10.02 liter / second,10 inch,0.0,1 inch,150 millimeter,17.54 millimeter,128 dimensionless,4.382 meter,-0.3718 meter
16,10.86 liter / second,10 inch,0.0,1 inch,160 millimeter,18.54 millimeter,122 dimensionless,4.752 meter,-0.5923 meter
17,11.56 liter / second,10 inch,0.0,1 inch,170 millimeter,19.54 millimeter,115 dimensionless,5.057 meter,-0.7739 meter
18,12.4 liter / second,10 inch,0.0,1 inch,180 millimeter,20.54 millimeter,110 dimensionless,5.423 meter,-0.9919 meter
19,13.18 liter / second,10 inch,0.0,1 inch,190 millimeter,21.54 millimeter,105 dimensionless,5.767 meter,-1.197 meter
20,13.91 liter / second,10 inch,0.0,1 inch,200 millimeter,22.54 millimeter,100 dimensionless,6.086 meter,-1.387 meter
21,14.73 liter / second,12 inch,0.0,1 inch,210 millimeter,23.54 millimeter,96 dimensionless,6.442 meter,-1.599 meter
22,15.49 liter / second,12 inch,0.0,1 inch,220 millimeter,24.54 millimeter,92 dimensionless,6.775 meter,-1.798 meter
23,16.38 liter / second,12 inch,0.0,1 inch,230 millimeter,25.54 millimeter,89 dimensionless,7.164 meter,-2.029 meter
24,17.03 liter / second,12 inch,0.0,1 inch,240 millimeter,26.54 millimeter,85 dimensionless,7.45 meter,-2.2 meter
25,17.83 liter / second,12 inch,0.0,1 inch,250 millimeter,27.54 millimeter,82 dimensionless,7.798 meter,-2.407 meter
26,18.58 liter / second,12 inch,0.0,1 inch,260 millimeter,28.54 millimeter,79 dimensionless,8.126 meter,-2.603 meter
27,19.52 liter / second,12 inch,0.0,1 inch,270 millimeter,29.54 millimeter,77 dimensionless,8.541 meter,-2.85 meter
28,20.18 liter / second,12 inch,0.0,1 inch,280 millimeter,30.54 millimeter,74 dimensionless,8.827 meter,-3.021 meter
29,21.06 liter / second,16 inch,0.0,1 inch,290 millimeter,31.54 millimeter,72 dimensionless,9.213 meter,-3.251 meter
30,21.91 liter / second,16 inch,0.0,1 inch,300 millimeter,32.54 millimeter,70 dimensionless,9.586 meter,-3.473 meter
31,22.73 liter / second,16 inch,0.0,1 inch,310 millimeter,33.54 millimeter,68 dimensionless,9.943 meter,-3.685 meter
32,23.51 liter / second,16 inch,0.0,1 inch,320 millimeter,34.54 millimeter,66 dimensionless,10.28 meter,-3.888 meter
33,24.24 liter / second,16 inch,0.0,1 inch,330 millimeter,35.54 millimeter,64 dimensionless,10.6 meter,-4.08 meter
34,24.93 liter / second,16 inch,0.0,1 inch,340 millimeter,36.54 millimeter,62 dimensionless,10.91 meter,-4.259 meter
