diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,0.8703 liter / second,3 inch,6.0,2 inch,30 millimeter,0.3181 inch,278 dimensionless
4,1.375 liter / second,3 inch,3.0,2 inch,40 millimeter,0.3575 inch,247 dimensionless
5,1.939 liter / second,4 inch,2.0,2 inch,50 millimeter,0.3969 inch,223 dimensionless
6,2.542 liter / second,4 inch,2.0,2 inch,60 millimeter,0.4362 inch,203 dimensionless
7,3.17 liter / second,6 inch,1.0,2 inch,70 millimeter,0.4756 inch,186 dimensionless
8,3.829 liter / second,6 inch,1.0,2 inch,80 millimeter,0.515 inch,172 dimensionless
9,4.508 liter / second,6 inch,1.0,2 inch,90 millimeter,0.5543 inch,160 dimensionless
10,5.183 liter / second,6 inch,1.0,2 inch,100 millimeter,0.5937 inch,149 dimensionless
11,5.892 liter / second,8 inch,0.0,2 inch,110 millimeter,0.6331 inch,140 dimensionless
12,6.612 liter / second,8 inch,0.0,2 inch,120 millimeter,0.6724 inch,132 dimensionless
13,7.348 liter / second,8 inch,0.0,2 inch,130 millimeter,0.7118 inch,125 dimensionless
14,8.045 liter / second,8 inch,0.0,2 inch,140 millimeter,0.7512 inch,118 dimensionless
15,8.765 liter / second,8 inch,0.0,2 inch,150 millimeter,0.7906 inch,112 dimensionless
16,9.528 liter / second,10 inch,0.0,2 inch,160 millimeter,0.8299 inch,107 dimensionless
17,10.25 liter / second,10 inch,0.0,2 inch,170 millimeter,0.8693 inch,102 dimensionless
18,11.04 liter / second,10 inch,0.0,2 inch,180 millimeter,0.9087 inch,98 dimensionless
19,11.8 liter / second,10 inch,0.0,2 inch,190 millimeter,0.948 inch,94 dimensionless
20,12.52 liter / second,10 inch,0.0,2 inch,200 millimeter,0.9874 inch,90 dimensionless
21,13.35 liter / second,10 inch,0.0,2 inch,210 millimeter,1.027 inch,87 dimensionless
22,14.14 liter / second,10 inch,0.0,2 inch,220 millimeter,1.066 inch,84 dimensionless
23,14.9 liter / second,12 inch,0.0,2 inch,230 millimeter,1.106 inch,81 dimensionless
24,15.63 liter / second,12 inch,0.0,2 inch,240 millimeter,1.145 inch,78 dimensionless
25,16.3 liter / second,12 inch,0.0,2 inch,250 millimeter,1.184 inch,75 dimensionless
26,17.16 liter / second,12 inch,0.0,2 inch,260 millimeter,1.224 inch,73 dimensionless
27,18 liter / second,12 inch,0.0,2 inch,270 millimeter,1.263 inch,71 dimensionless
28,18.82 liter / second,12 inch,0.0,2 inch,280 millimeter,1.302 inch,69 dimensionless
29,19.6 liter / second,12 inch,0.0,2 inch,290 millimeter,1.342 inch,67 dimensionless
30,20.35 liter / second,12 inch,0.0,2 inch,300 millimeter,1.381 inch,65 dimensionless
31,21.06 liter / second,16 inch,0.0,2 inch,310 millimeter,1.42 inch,63 dimensionless
32,21.73 liter / second,16 inch,0.0,2 inch,320 millimeter,1.46 inch,61 dimensionless
33,22.73 liter / second,16 inch,0.0,2 inch,330 millimeter,1.499 inch,60 dimensionless
34,23.32 liter / second,16 inch,0.0,2 inch,340 millimeter,1.539 inch,58 dimensionless
35,24.29 liter / second,16 inch,0.0,2 inch,350 millimeter,1.578 inch,57 dimensionless
36,24.79 liter / second,16 inch,0.0,2 inch,360 millimeter,1.617 inch,55 dimensionless
37,25.71 liter / second,16 inch,0.0,2 inch,370 millimeter,1.657 inch,54 dimensionless
38,26.62 liter / second,16 inch,0.0,2 inch,380 millimeter,1.696 inch,53 dimensionless
39,27.51 liter / second,16 inch,0.0,2 inch,390 millimeter,1.735 inch,52 dimensionless
40,28.38 liter / second,16 inch,0.0,2 inch,400 millimeter,1.775 inch,51 dimensionless
41,29.23 liter / second,16 inch,0.0,2 inch,410 millimeter,1.814 inch,50 dimensionless
42,29.45 liter / second,16 inch,0.0,2 inch,420 millimeter,1.854 inch,48 dimensionless
43,30.23 liter / second,16 inch,0.0,2 inch,430 millimeter,1.893 inch,47 dimensionless
44,31.65 liter / second,16 inch,0.0,2 inch,440 millimeter,1.932 inch,47 dimensionless
45,32.4 liter / second,16 inch,0.0,2 inch,450 millimeter,1.972 inch,46 dimensionless
46,33.12 liter / second,18 inch,0.0,2 inch,460 millimeter,2.011 inch,45 dimensionless
47,33.81 liter / second,18 inch,0.0,2 inch,470 millimeter,2.05 inch,44 dimensionless
48,34.46 liter / second,18 inch,0.0,2 inch,480 millimeter,2.09 inch,43 dimensionless
49,35.08 liter / second,18 inch,0.0,2 inch,490 millimeter,2.129 inch,42 dimensionless
50,36.52 liter / second,18 inch,0.0,2 inch,500 millimeter,2.169 inch,42 dimensionless
51,37.09 liter / second,18 inch,0.0,2 inch,510 millimeter,2.208 inch,41 dimensionless
52,37.62 liter / second,18 inch,0.0,2 inch,520 millimeter,2.247 inch,40 dimensionless
53,39.08 liter / second,18 inch,0.0,1.634 inch,530 millimeter,2.25 inch,40 dimensionless
